,128,256,512,1024,2048
8,12652.50075,9339.614218,3402.133226,4404.428803,4792.558385
9,11096.04233,9286.624599,3427.633445,4432.628789,4886.492203
10,4570.950305,9435.739152,9746.368505,12431.82646,12172.41082
11,12398.17913,9146.386087,3392.424872,4396.051871,4751.818534
12,7539.644077,11655.70099,11446.4088,13039.82017,8227.377119
13,5846.534709,5201.995566,1699.811716,1895.533337,2393.11944
14,5801.250346,5258.243931,1628.596019,1962.33696,2407.692519
15,7439.347286,5459.467304,1748.413225,2289.73797,2697.070573
16,7461.846647,5411.306928,1748.474722,2288.888184,2694.092103
17,6315.771721,5793.837759,6589.637078,5864.930638,5504.534189
18,6262.024485,5730.608509,6633.604903,5700.140966,5506.427099
19,6279.838299,5894.601925,6542.56262,5757.881448,5508.614501
20,17346.17039,13399.79713,6494.678551,8513.048146,9227.240732
21,12038.76005,17833.87297,17926.65042,16257.80455,9040.17271
22,6878.163332,5880.24324,6535.872085,5787.925683,5408.769339
23,2141.371318,1721.63182,425.948612,527.500227,592.539003
24,2292.971791,1534.421935,1763.152973,1416.34358,717.148772
25,17447.18802,13888.99872,6491.490258,8495.407888,9340.578
26,17175.69206,13920.11284,6473.752834,8501.862102,9447.063343
46,26495.91914,84883.46066,103595.0355,103338.8022,93599.59762
50,14198.72715,63755.33346,242532.9382,402534.9394,446435.6128
0,1746.389641,1508.396546,1755.79523,1958.371185,1305.223278
1,2977.851615,2764.821938,2560.869436,2010.718403,1482.943041
2,4237.526773,6716.528284,8125.076231,7743.719509,6094.250603
3,10762.9048,9759.585818,8056.310373,4913.410402,3146.296173
4,3327.228304,2556.56711,616.188975,681.888562,656.334715
5,3294.559736,2544.334731,617.069171,680.334255,658.682744
6,3631.117652,2707.399948,621.485404,691.852696,664.342049
7,4542.239549,9542.539601,10042.21573,13370.86324,14437.37927
8,12083.84904,18864.582,19485.87432,22793.65454,7724.017748
9,12224.72749,18021.60804,19489.55269,22668.51515,8064.423681
10,4515.345032,9438.127813,9927.310032,12714.57239,13678.51751
11,11081.38441,17305.01908,18390.2728,21827.70313,8165.678207
12,7069.448845,11127.68853,11198.90262,12760.81066,8326.183981
13,7816.444279,11818.26994,11496.70674,13048.71018,8176.60827
14,8285.863295,11786.3051,11604.90835,13066.62201,9089.94136
15,5295.838384,8652.286429,7983.922908,10814.48769,5556.503304
16,5271.212769,8793.090147,8036.89345,9674.953542,5634.13498
17,6373.353594,5808.681924,6636.261638,5843.863429,5435.990201
18,6293.973589,5822.793878,6725.800863,5863.428577,5445.458432
19,5196.758766,5763.583771,6587.906653,5823.029132,5495.969672
20,17556.73504,31562.81817,33428.65668,44182.72443,25426.14151
21,12683.10856,18449.67944,17771.7686,20013.02509,10185.76546
22,7336.54714,6537.766347,7072.503504,5797.981526,5522.611
23,2806.117616,1887.752999,2056.609479,2589.262284,522.495606
24,2318.319699,1503.0654,1795.434794,1384.971247,605.475596
25,16578.27668,30820.64113,32917.47879,44156.28768,24928.68743
26,17260.51029,31000.02956,32833.32999,44501.53033,26718.80635
46,23926.43468,86413.68014,102335.1973,105134.8109,93100.22974
50,13693.45087,66655.60588,223454.138,381022.9854,415649.3708
0,1807.733816,1982.290646,3081.724436,2018.788126,1384.791233
1,4319.571576,3797.253664,3418.897946,2506.94613,1530.539701
2,7067.066554,7113.058741,9596.474226,8860.564588,7480.041215
3,11028.93505,5303.036318,2056.344801,1982.584923,1863.486914
4,6164.46796,3512.670324,1005.276465,1024.581336,965.800143
5,6314.820837,3444.872079,1005.087136,1019.172186,971.988849
6,5216.147245,3482.845696,1004.526343,1023.805896,978.477583
7,4142.113372,8594.004713,15507.53645,17279.46804,21018.50632
8,10330.79803,7590.985227,6261.703126,6495.415209,7417.825769
9,11134.33502,6825.139231,6278.16395,6500.497789,7838.944146
10,4052.076128,8406.682367,16468.43288,15115.78993,20389.56614
11,10954.04544,7475.311783,6275.683442,6507.916681,7522.011985
12,5902.482409,9984.655121,17100.30489,14992.12269,10265.54084
13,4924.047899,4872.069812,3168.366972,2914.984489,3834.677103
14,4939.705571,4870.867495,3161.173295,2900.37249,3837.142393
15,6851.198955,4270.696076,3237.696281,3388.377167,4136.074712
16,6768.281426,4319.071168,3235.38221,3385.765374,4245.297108
17,5021.915709,6073.530146,8454.633403,5724.051054,6495.055699
18,4879.934846,5962.688275,8264.282205,5829.078046,6366.288881
19,4801.721809,6013.877946,8320.484037,5939.826398,6388.788871
20,14727.19101,11671.91874,11763.47564,12518.45662,14918.57823
21,9478.653107,14533.27789,22070.92811,18012.91612,16272.4013
22,5573.825914,6111.250501,7719.474317,6090.474505,6291.874818
23,1799.975968,1504.737031,804.850822,784.75475,973.5251
24,1626.329585,1559.372987,2492.034305,1533.91985,1042.017554
25,14742.72056,11860.46163,11733.29324,12636.806,13961.41418
26,14609.20934,11149.13344,11698.82792,12516.11457,14798.0785
46,19663.87248,59609.93427,104056.85,101820.872,86087.57641
50,15076.578,60371.41418,223138.3674,422242.6017,530179.0582
0,1913.459854,1855.784083,2896.009408,2130.875392,1444.460766
1,4008.318043,3223.690951,3622.219679,2447.691827,1559.460252
2,6663.972037,7509.440279,9832.764569,8285.920842,6135.881664
3,15511.47929,12075.58643,11213.49853,7861.581114,3165.357894
4,5667.212539,3221.338863,991.421335,1012.222723,958.261631
5,5388.365879,3184.287734,994.029044,999.698784,966.943805
6,5277.181681,3394.685767,1005.421427,1011.639453,977.794687
7,3533.235616,7722.53901,16914.32777,15670.61359,21137.2378
8,9776.932401,17540.21537,27555.29897,26869.10484,15763.6242
9,9709.037037,17376.71258,27218.34217,26895.68962,16285.8972
10,3992.673965,8458.176502,16930.65002,15391.95232,21156.22896
11,8760.033417,16116.44188,27518.85839,26826.8794,15546.27444
12,5221.992032,9352.109033,14991.28543,14817.23192,8841.616056
13,4997.979028,10245.94095,16987.22051,15091.95196,9719.733582
14,6328.159324,11128.79573,17488.44938,14939.92087,12483.08844
15,3583.956251,6718.545542,10827.37205,11541.81338,7966.284454
16,3720.003548,6356.932404,10794.89024,11140.1572,7971.089124
17,4774.936248,5963.430074,8395.192979,6334.6423,6379.565652
18,4857.892055,6044.427792,8482.739904,6362.249068,6422.587727
19,4768.42201,5989.509835,8473.689135,6328.334617,6336.252968
20,13525.64979,23144.17989,42314.61521,52677.91406,37700.93883
21,9677.674204,14919.04851,25028.94695,19730.12156,15908.08463
22,4846.105142,6339.757024,7606.903572,6242.714059,6347.59729
23,2140.824826,2058.440454,3334.937503,2931.712287,1033.100838
24,1843.974325,1535.784405,2377.767585,1496.379777,997.282442
25,13366.16954,25745.74695,41685.11336,52232.67244,38870.3203
26,13626.71865,25940.80557,48604.95691,52493.77643,37547.73644
46,18808.53812,67256.82902,99664.16277,100889.0352,85163.27969
50,15386.29494,66629.13423,221353.5549,412842.6568,486913.5788
0,1333.896451,1870.2967,2617.176864,1855.88865,1364.191191
1,3249.635082,3322.517056,3141.274997,2624.346579,1602.786465
2,6814.466288,7056.366083,9435.672818,8010.114448,7390.871715
3,9597.949657,4689.254849,2081.304815,2343.565304,2510.485475
4,5428.816982,3013.582411,1029.902184,1208.906995,1286.977537
5,5447.855566,2995.851183,1028.342557,1215.529031,1288.679947
6,5314.627471,2973.602857,1026.030189,1207.363793,1288.528026
7,3644.052129,7675.198316,13547.28843,14725.08047,19483.77491
8,9141.90061,6576.076825,6193.025599,6461.296608,7741.324765
9,9206.110623,6488.210999,6191.754245,6474.584306,7770.253995
10,3634.263929,7652.093957,13580.6666,14578.64277,19352.41808
11,9880.574794,6374.322188,6197.644006,6485.285607,7833.527243
12,4572.44522,8709.329042,15704.86798,14771.66273,11359.63591
13,4352.292207,4956.780808,3173.476081,3070.826962,3942.029148
14,4439.8264,4715.814091,3170.301552,3031.241074,3937.892044
15,6241.52381,3680.505441,3226.35667,3350.59949,4275.659061
16,5979.050606,3726.945086,3229.978714,3348.23821,4317.616215
17,3735.242675,6284.89614,6104.135347,4805.942827,5285.488119
18,2711.074914,5088.09074,5977.120183,4573.936241,5260.991309
19,2868.292416,6452.279055,6167.470568,4816.911442,5230.72186
20,12303.61983,10022.23178,11379.35014,12161.40989,15189.11
21,7737.140749,13382.1616,19302.87678,16423.90948,15733.58171
22,4136.394477,7011.541291,6021.378364,4851.900452,5170.19356
23,1930.19052,1398.013957,798.033648,781.587759,990.442022
24,1403.199625,1762.090493,2083.036175,1186.241269,1055.312577
25,11946.18058,10313.01697,11401.6317,12144.64909,15075.58311
26,12318.07342,10199.84558,11443.13954,12105.0532,14841.5349
46,14543.35645,49865.40645,81551.66363,90222.06552,84475.84348
50,15169.27306,64739.40189,231111.0254,515070.5509,645961.7377
0,1429.210481,1699.543742,2667.278642,1803.4854,1402.260277
1,3259.737313,3333.508713,3140.378316,2567.008883,1579.520279
2,5582.728604,7018.874618,9452.884651,8305.925111,8326.77196
3,14443.19559,11999.58231,10436.26925,5278.786315,3530.600932
4,4648.97362,2752.800184,1015.777497,1183.649413,1275.32149
5,4814.951211,2769.317212,1014.282169,1196.162674,1272.570309
6,5155.874616,2974.868299,1027.313814,1203.47532,1285.388889
7,3680.828434,7629.648696,13393.37884,14748.03603,19566.76393
8,7479.14408,13816.9372,22140.4675,23455.53951,14511.81902
9,7488.491341,13718.0834,22243.20578,23385.70589,14695.85649
10,3718.35461,7728.764713,13044.7787,14560.68205,19307.70145
11,6754.112721,12480.26185,21457.3273,23464.71468,14390.61054
12,4166.8031,7723.783348,12924.44034,13691.39924,10734.96463
13,4860.143685,8650.947998,15957.02492,14721.30522,11213.29872
14,5239.605247,9489.643938,16942.29751,14593.10676,11239.53829
15,3271.432806,3408.756146,9247.434589,9498.533955,6565.772065
16,3280.387924,6096.261332,9498.441527,9070.109835,7058.376913
17,3996.859158,5281.417846,6149.414142,4843.319175,5272.77008
18,3912.597015,5611.10903,6154.997776,4808.326334,5240.046812
19,3788.550266,6361.150354,6200.235042,4821.391939,5234.62454
20,10277.63783,20283.16025,38287.20971,42466.74118,37806.45453
21,7599.753579,12759.30945,19334.0192,16746.49665,15616.50976
22,3339.414013,7112.304888,5934.452329,4776.0598,5232.349673
23,1799.82149,2128.305065,3073.485484,2534.502122,863.649536
24,1493.751202,1741.61266,1966.877123,1173.091597,1061.052747
25,10402.53968,20416.44783,37079.79335,42901.70885,34913.94132
26,10232.50549,20044.46356,37588.10558,42289.78318,38082.38267
46,13066.3676,42587.17096,77249.83625,90698.76159,82170.21505
50,14810.39548,69919.63326,236111.7565,521879.9115,644104.1966
